shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3-109-mjp-3.10.R,-37.8178755249435,145.122349164379,1,0.0
3-109-mjp-3.10.R,-37.8176301577886,145.120526379882,2,162.42
3-109-mjp-3.10.R,-37.817501810007,145.119825300449,3,225.64
3-109-mjp-3.10.R,-37.8173761172599,145.11872654854,4,323.16
3-109-mjp-3.10.R,-37.8173761172599,145.11872654854,5,323.16
3-109-mjp-3.10.R,-37.8173238178951,145.118273467969,6,363.38
3-109-mjp-3.10.R,-37.8171440609882,145.117176095238,7,461.82
3-109-mjp-3.10.R,-37.8168210133522,145.114446512769,8,704.27
3-109-mjp-3.10.R,-37.8168210133522,145.114446512769,9,704.27
3-109-mjp-3.10.R,-37.8162694782029,145.109837011697,10,1113.79
3-109-mjp-3.10.R,-37.8162694782029,145.109837011697,11,1113.79
3-109-mjp-3.10.R,-37.815518639196,145.103494612124,12,1677.15
3-109-mjp-3.10.R,-37.8154258582731,145.102769953458,13,1741.63
3-109-mjp-3.10.R,-37.8154258582731,145.102769953458,14,1741.63
3-109-mjp-3.10.R,-37.8151877343514,145.10085623454,15,1911.81
3-109-mjp-3.10.R,-37.815155215076,145.100516272524,16,1941.89
3-109-mjp-3.10.R,-37.815040184779,145.099530915925,17,2029.39
3-109-mjp-3.10.R,-37.815040184779,145.099530915925,18,2029.39
3-109-mjp-3.10.R,-37.8145103127233,145.09518236331,19,2415.9
3-109-mjp-3.10.R,-37.8145103127233,145.09518236331,20,2415.9
3-109-mjp-3.10.R,-37.8140523583919,145.091388646237,21,2753.02
3-109-mjp-3.10.R,-37.8140523583919,145.091388646237,22,2753.02
3-109-mjp-3.10.R,-37.8136454087198,145.087968528495,23,3056.85
3-109-mjp-3.10.R,-37.8136454087198,145.087968528495,24,3056.85
3-109-mjp-3.10.R,-37.8131450947817,145.083801135292,25,3427.14
3-109-mjp-3.10.R,-37.8131450947817,145.083801135292,26,3427.14
3-109-mjp-3.10.R,-37.8128739070915,145.081536253618,27,3628.37
3-109-mjp-3.10.R,-37.8128739070915,145.081536253618,28,3628.37
3-109-mjp-3.10.R,-37.8121968623193,145.075942257224,29,4125.52
3-109-mjp-3.10.R,-37.8121968623193,145.075942257224,30,4125.52
3-109-mjp-3.10.R,-37.811696498792,145.071797753564,31,4493.83
3-109-mjp-3.10.R,-37.811696498792,145.071797753564,32,4493.83
3-109-mjp-3.10.R,-37.8113210382533,145.068683739436,33,4770.55
3-109-mjp-3.10.R,-37.8113210382533,145.068683739436,34,4770.55
3-109-mjp-3.10.R,-37.8108622386306,145.064890385616,35,5107.67
3-109-mjp-3.10.R,-37.8108622386306,145.064890385616,36,5107.67
