stop_id,stop_name,stop_lat,stop_lon
13626,Lakeside Bvd/Princes Hwy (Pakenham),-38.0623482091939,145.4567089534
13761,Hudson Park/Sydney St (Kilmore),-37.2949521713049,144.951707614532
13762,Hudson Park/Sydney St (Kilmore),-37.2957068794309,144.952093254788
13763,High St/Main Rd (Lancefield),-37.2781181181023,144.736606717502
13764,High St/Main Rd (Lancefield),-37.2780499434491,144.736811760624
13765,Romsey Community Hub/Main St (Romsey),-37.3500899679646,144.742811606745
13766,Romsey Community Hub/Main St (Romsey),-37.3501212960347,144.74303644087
14005,Bloomfield Rd/Queen St (Nilma),-38.1703476692821,145.967874626346
15096,Jennings St/Northern Hwy (Heathcote),-36.9274059793046,144.71185195711
15097,Jennings St/Northern Hwy (Heathcote),-36.927468671801,144.712299114896
15107,Echuca Coach Terminal/Heygarth St (Echuca),-36.1240852196549,144.751933212653
15109,Murray River Council/Cobb Hwy (Moama (NSW)),-36.1142846584368,144.756111907767
15113,Thompson St/Main St (Koondrook),-35.6435727592213,144.131196495989
15114,King Albert Ave/Leitchville Rd (Leitchville),-35.9036371449505,144.301115308438
15115,Newsagent/Murray Valley Hwy (Gunbower),-35.9562893869619,144.368796833153
15116,Newsagent/Murray Valley Hwy (Gunbower),-35.9559829237047,144.368795918637
15117,General Store/Murray Valley Hwy (Torrumbarry),-36.0289328143973,144.516565858212
15122,Transit Centre/Union St (Kyabram),-36.3143820163375,145.047525661334
15123,Mill St/McLennan St (Mooroopna),-36.3940780469356,145.361331509799
15124,Mill St/Midland Hwy (Mooroopna),-36.3945712401528,145.361142757613
15126,Shepparton Railway Station (Shepparton),-36.3838159665954,145.406340898648
15127,Fraser St/Wyndham St (Shepparton),-36.3798388541311,145.399465844225
15128,Fraser St/Wyndham St (Shepparton),-36.3795002869314,145.399762624587
15130,Barmah Hotel/Maloney St (Barmah),-36.0172521572575,144.957807310497
15137,Milk Bar/Station St (Girgarre),-36.3970747793941,144.980858109513
15139,Birdwood Ave/Brundenell St (Stanhope),-36.4457146089892,144.982587881563
15140,Birdwood Ave/Brundenell St (Stanhope),-36.4459554189379,144.982436610051
15143,High St/Moora Rd (Rushworth),-36.5856665508541,145.014726811123
