stop_id,stop_name,stop_lat,stop_lon,branch_id,mb_id
17204,Wallan Railway Station (Wallan),-37.4168610028748,145.005372256037,1,20419292000
19980,Melton Railway Station (Melton South),-37.7033590841646,144.572215773241,1,20408592000
19981,Rockbank Railway Station (Rockbank),-37.7292612709254,144.650631483985,1,21310560000
19982,Deer Park Railway Station (Deer Park),-37.7777637471548,144.772303608804,1,20093430000
19998,Sunbury Railway Station (Sunbury),-37.5792063872513,144.728164508311,1,20303762000
20020,Ardeer Railway Station (Ardeer),-37.7830652929449,144.802188066669,1,20087090000
20029,Craigieburn Railway Station (Craigieburn),-37.6019247988394,144.943306014347,1,20300984000
20043,Southern Cross Railway Station (Melbourne City),-37.8183342913486,144.952524867532,1,20395172000
20287,Albury Railway Station (Albury (NSW)),-36.0842616098688,146.924515439062,1,
20288,Ararat Railway Station (Ararat),-37.2822048502833,142.936913700789,1,20631964010
20289,Avenel Railway Station (Avenel),-36.8936477837314,145.22951497896,1,20558110000
20290,Bacchus Marsh Railway Station (Maddingley),-37.6875166592637,144.436855314371,1,20458190000
20291,Bairnsdale Railway Station (Bairnsdale),-37.8287204273539,147.62761375413,1,20158470000
20292,Ballan Railway Station (Ballan),-37.6042995115543,144.225448027584,1,20459250000
20293,Ballarat Railway Station (Ballarat Central),-37.5587914824464,143.859457427768,1,20687470000
20294,Beaufort Railway Station (Beaufort),-37.4278749704581,143.382233659237,1,20534361000
20295,Benalla Railway Station (Benalla),-36.5445503105037,145.98391505369,1,20054230000
20296,Bendigo Railway Station (Bendigo),-36.7656697308466,144.283008928887,1,20210150000
20297,Birregurra Railway Station (Birregurra),-38.3288078106571,143.783625214537,1,20134310000
20298,Broadford Railway Station (Broadford),-37.2072004909294,145.043007902139,1,20631917260
20299,Bunyip Railway Station (Bunyip),-38.0991077095838,145.7207574905,1,20101722000
20300,Camperdown Railway Station (Camperdown),-38.2289009107195,143.150927797273,1,20137023000
20301,Castlemaine Railway Station (Castlemaine),-37.0628374463459,144.213799025493,1,20504610000
20302,Chiltern Railway Station (Chiltern),-36.1556366325658,146.611374754963,1,20304750000
